id	pathogen_nm	url	image	taxonomy	binomial_nm	synonyms	status
9	Annual broadleaf weeds						 page not found 010: table not supplied
10	Annual grasses						 page not found 010: table not supplied
11	Annual sedges						 page not found 010: table not supplied
12	Annual weeds						 page not found 010: table not supplied
13	Anthracnose fruit rot	https://en.wikipedia.org/wiki/Colletotrichum	https://upload.wikimedia.org/wikipedia/commons/7/77/Colletotrichum_lindemuthianum.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:ColletotrichumCorda, 1831			 020: Synonym (taxonomy) row not found>
14	Anthracnose fruit rot of banana	https://en.wikipedia.org/wiki/Colletotrichum_musae	https://upload.wikimedia.org/wikipedia/commons/7/78/Definition_of_Free_Cultural_Works_logo_notext.svg	Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Colletotrichum musae		 020: Synonym (taxonomy) row not found>
15	Anthracnose leaf blight	https://en.wikipedia.org/wiki/Glomerella_graminicola	https://upload.wikimedia.org/wikipedia/commons/f/f1/Antracnose_stalk_rot.jpg	Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Glomerella	Glomerella graminicola	Colletotrichopsis graminicola,Colletotrichum graminicola,Dicladium graminicola,Steirochaete graminicola,Vermicularia melicae	
16	Anthracnose leaf spot	https://en.wikipedia.org/wiki/Glomerella_cingulata	https://upload.wikimedia.org/wikipedia/commons/5/5d/Bitter_rot.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Glomerella cingulata	Colletotrichum gloeosporioides,Glomerella rufomaculans-vaccinii	
17	Anthracnose: Pepper	https://en.wikipedia.org/wiki/Colletotrichum_capsici	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Colletotrichum capsici	Steirochaete capsici,Vermicularia capsici	
18	Ants						 page not found 010: table not supplied
19	Aphids						 page not found 010: table not supplied
20	Arthropods						 page not found 010: table not supplied
21	Asian corn borer	https://en.wikipedia.org/wiki/Ostrinia_furnacalis	https://upload.wikimedia.org/wikipedia/commons/3/3b/Asian_corn_borer_dist.png	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Genus:Ostrinia,:Distribution of Ostrinia furnacalis	Ostrinia furnacalis	Botys furnacalis,Botys damoalis,Botys salentialis,Pyrausta polygoni,Pyrausta vastatrix,Spilodes kodzukalis	
22	Asparagus blight 	https://en.wikipedia.org/wiki/Cercospora_asparagi	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Cercospora	Cercospora asparagi		 020: Synonym (taxonomy) row not found>
23	Avacado Anthracnose	https://en.wikipedia.org/wiki/Glomerella_cingulata	https://upload.wikimedia.org/wikipedia/commons/5/5d/Bitter_rot.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Glomerella cingulata	Colletotrichum gloeosporioides,Glomerella rufomaculans-vaccinii	
24	Bacteria	https://en.wikipedia.org/wiki/Bacteria	https://upload.wikimedia.org/wikipedia/commons/c/ca/Anillo_de_la_vida.png	Domain:BacteriaWoese et al. 2024[2]		"Bacteria (Cohn,""Bacteria"" Haeckel,""Bacteria"" Cavalier-Smith,""Bacteriaceae"" Cohn,""Bacteriobionta"" Möhn,""Bacteriophyta"" Schussnig,""Eubacteria"" Woese,""Neobacteria"" Möhn,""Schizomycetaceae"" de,""Schizomycetes"" Nägeli"	
25	Bacterial blight	https://en.wikipedia.org/wiki/Xanthomonas	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:XanthomonasDowson 1939			 020: Synonym (taxonomy) row not found>
26	Bacterial blight of cassava 	https://en.wikipedia.org/wiki/Bacterial_blight_of_cassava	None				 010: table not supplied
27	Bacterial blight of common beans 	https://en.wikipedia.org/wiki/Xanthomonas	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:XanthomonasDowson 1939			 020: Synonym (taxonomy) row not found>
28	Bacterial blight of rice	https://en.wikipedia.org/wiki/Xanthomonas_oryzae_pv._oryzae	https://upload.wikimedia.org/wikipedia/commons/b/b1/Bacterial_blight_of_rice.jpeg				 010: table not supplied
29	Bacterial bulb rot	https://en.wikipedia.org/wiki/Bacterial_cellular_morphologies	https://upload.wikimedia.org/wikipedia/commons/d/df/ARS_Campylobacter_jejuni.jpg				 010: table not supplied
30	Bacterial crown rot	https://en.wikipedia.org/wiki/Erwinia_papayae	https://upload.wikimedia.org/wikipedia/commons/1/1c/Ambox_rewrite.svg	Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Erwiniaceae,Genus:Erwinia	Erwinia papayae		 020: Synonym (taxonomy) row not found>
31	Bacterial fruit rot	https://en.wikipedia.org/wiki/Ralstonia_solanacearum	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Betaproteobacteria,Order:Burkholderiales,Family:Burkholderiaceae,Genus:Ralstonia	Ralstonia solanacearum	Burkholderia solanacearum,Bacillus solanacearum,Pseudomonas solanacearum,Pseudomonas batatae,Pseudomonas ricini	
32	Bacterial heart rot	https://en.wikipedia.org/wiki/Dickeya_dadantii	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Pectobacteriaceae,Genus:Dickeya	Dickeya dadantii		 020: Synonym (taxonomy) row not found>
33	Bacterial leaf blight	https://en.wikipedia.org/wiki/Xanthomonas_oryzae	https://upload.wikimedia.org/wikipedia/commons/0/0f/Average_prokaryote_cell-gl.svg	Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas	Xanthomonas oryzae		 020: Synonym (taxonomy) row not found>
34	Bacterial leaf blight of Carrot	https://en.wikipedia.org/wiki/Xanthomonas_campestris	https://upload.wikimedia.org/wikipedia/commons/0/0f/Average_prokaryote_cell-gl.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas	Xanthomonas campestris	Bacillus campestris,Pseudomonas campestris,Bacterium campestris,Phytomonas campestris	
35	Bacterial leaf streak	https://en.wikipedia.org/wiki/Xanthomonas_vasicola	https://upload.wikimedia.org/wikipedia/commons/0/0f/Average_prokaryote_cell-gl.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas	Xanthomonas vasicola		 020: Synonym (taxonomy) row not found>
36	Bacterial panicle blight	https://en.wikipedia.org/wiki/Burkholderia_glumae	https://upload.wikimedia.org/wikipedia/commons/b/b4/A%C3%B1ublo_bacterial.png	Domain:Bacteria,Phylum:Pseudomonadota,Class:Betaproteobacteria,Order:Burkholderiales,Family:Burkholderiaceae,Genus:Burkholderia	Burkholderia glumae	Pseudomonas glumae	
37	Bacterial rot	https://en.wikipedia.org/wiki/Dickeya	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Pectobacteriaceae,Genus:DickeyaSamson et al., 2005			 020: Synonym (taxonomy) row not found>
38	Bacterial soft rot	https://en.wikipedia.org/wiki/Dickeya_dadantii	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Pectobacteriaceae,Genus:Dickeya	Dickeya dadantii		 020: Synonym (taxonomy) row not found>
39	Bacterial specks	https://en.wikipedia.org/wiki/Pseudomonas_syringae	https://upload.wikimedia.org/wikipedia/commons/5/59/Collmer_leaf_speck3.jpg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Pseudomonadales,Family:Pseudomonadaceae,Genus:Pseudomonas	Pseudomonas syringae		 020: Synonym (taxonomy) row not found>
40	Bacterial spot	https://en.wikipedia.org/wiki/Xanthomonas	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:XanthomonasDowson 1939			 020: Synonym (taxonomy) row not found>
41	Bacterial wilt	https://en.wikipedia.org/wiki/Bacterial_wilt	https://upload.wikimedia.org/wikipedia/commons/e/e1/Bacterial_wilt.JPG	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Erwiniaceae,Genus:Erwinia	Erwinia tracheiphila		 020: Synonym (taxonomy) row not found>
42	Banana anthracnose	https://en.wikipedia.org/wiki/Colletotrichum_musae	https://upload.wikimedia.org/wikipedia/commons/7/78/Definition_of_Free_Cultural_Works_logo_notext.svg	Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Colletotrichum musae		 020: Synonym (taxonomy) row not found>
43	Banana flower thrips	https://en.wikipedia.org/wiki/Thrips_hawaiiensis	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Thysanoptera,Family:Thripidae,Genus:Thrips	Thrips hawaiiensis		 020: Synonym (taxonomy) row not found>
44	Banana freckle disease	https://en.wikipedia.org/wiki/Guignardia_musae	https://upload.wikimedia.org/wikipedia/commons/1/15/Apple_scab_SEM.jpg	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Botryosphaeriales,Family:Botryosphaeriaceae,Genus:Guignardia	Guignardia musae	Macrophoma musae,Phoma musae,Phyllosticta musarum,Phyllostictina musarum,Sphaeropsis musarum	
45	Banana rust thrips	https://en.wikipedia.org/wiki/List_of_minor_insects_of_Sri_Lanka	https://upload.wikimedia.org/wikipedia/commons/5/5f/Pigeon_Island_National_Park%2C_Trincomalee.jpg				 010: table not supplied
46	Banded leaf and sheath blight	https://en.wikipedia.org/wiki/Rhizoctonia_solani	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Fungi,Division:Basidiomycota,Class:Agaricomycetes,Order:Cantharellales,Family:Ceratobasidiaceae,Genus:Rhizoctonia	Rhizoctonia solani	Moniliopsis solani	
47	Bark borer	https://en.wikipedia.org/wiki/Prasinoxena	https://upload.wikimedia.org/wikipedia/commons/0/05/28-Prasinoxena_metaleuca_Hampson%2C_1912.JPG	Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Pyralidae,Subfamily:Galleriinae,Genus:PrasinoxenaMeyrick, 1894			 020: Synonym (taxonomy) row not found>
48	Barnyard grass	https://en.wikipedia.org/wiki/Echinochloa_colona	https://upload.wikimedia.org/wikipedia/commons/c/c2/Echinochloa_colona.jpg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:Poaceae,Subfamily:Panicoideae,Genus:Echinochloa	Echinochloa colonum	Panicum colonum,Echinochloa colona,Echinochloa equitans,Echinochloa zonalis,Milium colonum,Oplismenus clonus,Oplismenus muticus,Oplismenus repens,Panicum equitans,Panicum incertum,Panicum musei,Panicum prorepens,Panicum zonale	
49	Basal rot	https://en.wikipedia.org/wiki/Phytophthora_palmivora	https://upload.wikimedia.org/wikipedia/commons/5/51/Brokencoconut.jpg	Domain:Eukaryota,Clade:Diaphoretickes,Clade:SAR,Clade:Stramenopiles,Phylum:Oomycota,Order:Peronosporales,Family:Peronosporaceae,Genus:Phytophthora	Phytophthora palmivora	Kawakamia carica,Phytophthora arecae,Phytophthora cactorum,Phytophthora carica,Phytophthora carica,Phytophthora faberi,Phytophthora heveae,Phytophthora omnivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora parasitica,Phytophthora parasitica,Phytophthora theobromae,Pythium palmivorum	
50	Baterial crown rot	https://en.wikipedia.org/wiki/Erwinia_papayae	https://upload.wikimedia.org/wikipedia/commons/1/1c/Ambox_rewrite.svg	Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Enterobacterales,Family:Erwiniaceae,Genus:Erwinia	Erwinia papayae		 020: Synonym (taxonomy) row not found>
51	Bean Anthracnose	https://en.wikipedia.org/wiki/Colletotrichum_lindemuthianum	https://upload.wikimedia.org/wikipedia/commons/7/7f/Benkid77_Green_Bean_Crop%2C_Storeton_200709.JPG	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Colletotrichum lindemuthianum	Gloeosporium lindemuthianum,Glomerella cingulata,phaseoli,Glomerella lindemuthiana	
52	Bean fly	https://en.wikipedia.org/wiki/Ophiomyia	https://upload.wikimedia.org/wikipedia/commons/7/7b/Asparagus_miner_close.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Diptera,Family:Agromyzidae,Subfamily:Agromyzinae,Genus:OphiomyiaBrazhnikov, 1897		Aulomyza Enderlein,,Carinagromyza Sasakawa,,Hexomyza Enderlein,,Kleinschmidtimyia Spencer,,Penetagromyza Spencer,,Siphonomyza Enderlein,,Siridomyza Enderlein,,Solenomyza Enderlein,,Stiropomyza Enderlein,,Stirops Enderlein,,Triopisopa Enderlein,,Tylomyza Hendel,	
53	Bean leaf beetle	https://en.wikipedia.org/wiki/Bean_leaf_beetle	https://upload.wikimedia.org/wikipedia/commons/0/0b/Beanleafbeetle.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Chrysomelidae,Genus:Cerotoma	Cerotoma trifurcata	Chrysomela trifurcata	
54	Bean Leaffolder	https://en.wikipedia.org/wiki/List_of_Lepidoptera_of_the_Chagos_Archipelago	https://upload.wikimedia.org/wikipedia/commons/6/60/Chagos_large.png				 010: table not supplied
55	Bean lycaenid	https://en.wikipedia.org/wiki/Euchrysops_cnejus	https://upload.wikimedia.org/wikipedia/commons/e/e4/EuchrysopsCnejusMFUpUnAC1.jpg	:Female,Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Lycaenidae,Genus:Euchrysops	Euchrysops cnejus	Hesperia cnejus,Lycaena pandia,Lycaena patala,Lycaena monica,Lycaena samoa,Cupido amazara,Catochrysops hapalina,Catochrysops trifracta,Catochrysops theseus,Euchrysops suffusus,Euchrysops cnidus,Catochrysops vitiensis,Plebejus luzonicus	
56	Bean pod borer	https://en.wikipedia.org/wiki/Maruca_vitrata	https://upload.wikimedia.org/wikipedia/commons/9/9c/Maruca_vitrata_from_Sri_Lanka.jpg	:Domain:,Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Genus:Maruca	Maruca vitrata	Botys bifenestralis,Crochiphora testulalis,Hydrocampe aquitilis,Maruca testulalis,Phalaena vitrata	
57	Bean rust	https://en.wikipedia.org/wiki/Uromyces	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Fungi,Division:Basidiomycota,Class:Pucciniomycetes,Order:Pucciniales,Family:Pucciniaceae,Genus:Uromyces(Link) Unger (1833)[1]		Alveomyces Bubák,,Capitularia Rabenh.,Coeomurus Gray,Dichlamys H.Sydow,Groveola H.Sydow,,Haplopyxis H.Sydow,Haplotelium H.Sydow,,Klebahnia J.C.Arthur,,Nielsenia H.Sydow,,Ontotelium H.Sydow,,Poliotelium H.Sydow,,Puccinella Fuckel,,Pucciniola L.Marchand,,Teleutospora J.C.Arthur,Telospora J.C.Arthur,,Uromycopsis J.C.Arthur,	
58	Beet armyworm	https://en.wikipedia.org/wiki/Beet_armyworm	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	:Domain:,Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Noctuidae,Genus:Spodoptera	Spodoptera exigua	Noctua exigua,Caradrina venosa,Laphygma exigua	
59	Beetles	https://en.wikipedia.org/wiki/List_of_subgroups_of_the_order_Coleoptera	https://upload.wikimedia.org/wikipedia/commons/7/78/Anthrenus_verbasci_MHNT_Fronton_Side_view.jpg				 010: table not supplied
60	Bermuda grass	https://en.wikipedia.org/wiki/Cynodon_dactylon	https://upload.wikimedia.org/wikipedia/commons/1/19/Bermuda_Grass_growing_out_of_a_curb.jpg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:Poaceae,Subfamily:Chloridoideae,Genus:Cynodon	Cynodon dactylon	.mw-parser-output .plainlist,Agrostis bermudiana,Agrostis filiformis,Agrostis linearis,Agrostis stellata,Capriola dactylon,Capriola dactylon,Chloris cynodon,Chloris maritima,Chloris paytensis,Cynodon affinis,Cynodon aristiglumis,Cynodon aristulatus,Cynodon barberi,Cynodon decipiens,Cynodon distichloides,Cynodon erectus,Cynodon glabratus,Cynodon grandispiculus,Cynodon hirsutissimus,Cynodon iraquensis,Cynodon laeviglumis,Cynodon linearis,Cynodon maritimus,Cynodon mucronatus,Cynodon nitidus,Cynodon occidentalis,Cynodon pascuus,Cynodon pedicellatus,Cynodon polevansii,Cynodon portoricensis,Cynodon repens,Cynodon sarmentosus,Cynodon scabrifolius,Cynodon stellatus,Cynodon tenuis,Cynodon umbellatus,Cynosurus dactylon,Cynosurus uniflorus,Dactilon officinale,Dactylus officinalis,Digitaria ambigua,Digitaria dactylon,Digitaria glumaepatula,Digitaria glumipatula,Digitaria linearis,Digitaria linearis,Digitaria littoralis,Digitaria maritima,Digitaria stolonifera,Fibichia dactylon,Fibichia umbellata,Milium dactylon,Panicum ambiguum,Panicum dactylon,Panicum glumipatulum,Panicum lineare,Paspalum ambiguum,Paspalum dactylon,Paspalum umbellatum,Phleum dactylon,Syntherisma linearis,Vilfa linearis,Vilfa stellata	
61	Berry borer	https://en.wikipedia.org/wiki/Hypothenemus_hampei	https://upload.wikimedia.org/wikipedia/commons/d/d2/Berry-borer.png	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Curculionidae,Genus:Hypothenemus	Hypothenemus hampei	Cryphalus hampei,Stephanoderes hampei,Stephanoderes coffeae,Xyleborus coffeivorus,Xyleborus cofeicola,Hypothenemus coffeae	
62	Bitter rot 	https://en.wikipedia.org/wiki/Glomerella_cingulata	https://upload.wikimedia.org/wikipedia/commons/5/5d/Bitter_rot.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Glomerella cingulata	Colletotrichum gloeosporioides,Glomerella rufomaculans-vaccinii	
63	Black borer	https://en.wikipedia.org/wiki/Xylosandrus_crassiusculus	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Curculionidae,Genus:Xylosandrus	Xylosandrus crassiusculus	Xylosandrus semiopacus	
64	Black leg	https://en.wikipedia.org/wiki/Leptosphaeria_maculans	https://upload.wikimedia.org/wikipedia/commons/5/57/BlacklegLeafLesions.jpg	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Leptosphaeriaceae,Genus:Leptosphaeria	Leptosphaeria maculans	Phyllosticta brassicae,Sphaeria maculans	
65	Black pod 	https://en.wikipedia.org/wiki/Phytophthora_palmivora	https://upload.wikimedia.org/wikipedia/commons/5/51/Brokencoconut.jpg	Domain:Eukaryota,Clade:Diaphoretickes,Clade:SAR,Clade:Stramenopiles,Phylum:Oomycota,Order:Peronosporales,Family:Peronosporaceae,Genus:Phytophthora	Phytophthora palmivora	Kawakamia carica,Phytophthora arecae,Phytophthora cactorum,Phytophthora carica,Phytophthora carica,Phytophthora faberi,Phytophthora heveae,Phytophthora omnivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora parasitica,Phytophthora parasitica,Phytophthora theobromae,Pythium palmivorum	
66	Black root rot of Carrot	https://en.wikipedia.org/wiki/List_of_flax_diseases	https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg				 010: table not supplied
67	Black root rot of Pineapple	https://en.wikipedia.org/wiki/Ceratocystis_paradoxa	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Microascales,Family:Ceratocystidaceae,Genus:Ceratocystis	Ceratocystis paradoxa	Ceratostomella paradoxa,Chalara paradoxa,Chalara thielavioides,Chalaropsis thielavioides,Endoconidiophora paradoxa,Endoconidium fragrans,Hughesiella euricoi,Neocarpenteles acanthosporum,Ophiostoma paradoxum,Sporoschisma paradoxum,Stilbochalara dimorpha,Thielaviopsis ethacetica,Thielaviopsis euricoi,Thielaviopsis paradoxa,Thielaviopsis thielavioides	
68	Black rot	https://en.wikipedia.org/wiki/Botryosphaeria_obtusa	https://upload.wikimedia.org/wikipedia/commons/a/a0/Botryosphaeria_obtusa.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Botryosphaeriales,Family:Botryosphaeriaceae,Genus:Botryosphaeria	Botryosphaeria obtusa	Amerodothis ilicis,Bagnisiella ilicis,Botryodiplodia juglandicola,Botryosphaeria ambigua,Diplodia griffonii,Diplodia juglandicola,Dothidea ilicis,Eutypella juglandicola,Melanops cupressi,Melanops cydoniae,Melogramma ambiguum,Phoma obtusa,Physalospora cupressi,Physalospora cydoniae,Physalospora malorum,Physalospora obtusa,Physalospora thyoidea,Sphaeria ambigua,Sphaeria cupressi,Sphaeria eunotiaespora,Sphaeria juglandicola,Sphaeria obtusa,Sphaeria thyoidea,Sphaeropsis malorum,Valsa juglandicola,Wallrothiella eunotiaespora	
69	Black rot (black carrot root dieback)	https://en.wikipedia.org/wiki/Alternaria_radicina	https://upload.wikimedia.org/wikipedia/commons/0/0d/Alternaria_radicina_on_Daucus_carota.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria radicina	Macrosporium daucinum,Pseudostemphylium radicinum,Stemphylium radicinum,Thyrospora radicina	
70	Black sigatoka	https://en.wikipedia.org/wiki/Black_sigatoka	https://upload.wikimedia.org/wikipedia/commons/4/42/Black_Leaf_Streak.jpg	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Mycosphaerella	Mycosphaerella fijiensis	Pseudocercosporella fijiensis	
